HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,PurityVice,MoralityGeneral
守る,損害,フェア,不当,共に,奔放,従う,挑戦,祈り,不貞,利益
安全,害,適正,不正,互いに,分離,遵奉,反抗,神父,むかつ,悪人
無事,有害,公正,不公,円満な,引き離,従順,侮り,高僧,嫌悪,悪党
無難,傷害,公平,卑怯,国,隔離,服従,傲慢な,教主,腐敗,悪漢
落ち着,危害,並ぶ,不穏当,国民,外国人,忠順,抵抗,牧師,堕落,悪用
防衛,害悪,等しい,偏見,国家,敵,素直,反発,聖職者,悪行,教訓
確実,傷つ,同等,先入観,民族,背く,義務,反乱,敬虔,病気,道徳
慎重,痛み,平等,偏り,国籍,密告,任務,暴動,孝行,疾患,倫理
平和,悩む,対等,バイアス,部族,売国奴,職務,異議,敬神,不健全,説教
秩序,災害,平衡,偏向,種族,謀反,敬意,不同意,孝心,悪弊,モラル
安心,苦し,正義,偏重,同胞,反逆,務め,倒す,純粋,病弊,修身
治安,苦労,正当,先入主,愛国,内通,規定,転覆,清潔,病的,道義
静けさ,苦痛,妥当,不法,国民性,不義,法律,打倒,純正,汚れ,徳義
平穏,病む,弁明,偏屈,国有,個人,原則,危険人物,清浄,不潔,価値
和平,患う,もっとも,差別,国営,個性,法,失礼,潔白,不浄,バリュー
静かな,苦難,相互,分け隔てする,自国,利己主義,ルール,無礼,清い,穢れ,真価
穏やかな,戦争,返礼,不均衡,祖国,個別化,合法,違反,純血種,感染,良い
同情,戦う,相反,不釣り合い,母国,独特,認可,反則,きれいな,伝染,徳
哀れ,戦い,返報,不利益,故国,変節,適法,不服,清らかな,下品,人徳
情け深い,争う,お返し,優先,ホームランド,背教,公認,不従順,洗う,見苦しい,信条
共感,争い,公明正大,先取権,家族,脱党,本分,扇動,掃除,不作法,主義
感情移入,軍事,不偏,特恵,世帯,逃亡,儀式,アジテーター,洗濯,無作法,戒め
思いやり,闘争,一様,ひいき,一家,脱走,信用,アジる,清掃,罪,訓戒
看護,将軍,均等,偏愛,一族,スパイ,名誉,運動員,清める,過失,規範
同感,敵対,均一,情実,家系,密偵,尊敬,暴徒,健全,罪悪,規準
保護,戦闘,等価物,無視,同族,諜報部員,特権,挑む,消毒,罪深い,法規
世話,合戦,寛容,不誠実,一門,隠退,名声,侮る,殺菌,罪作り,値する
介護,戦士,寛大,背信,グループ,移民,儀礼,離反,無菌,罪人,値打ち
優し,格闘,バランス,不忠,団体,移住,自尊心,異教,滅菌,罪業,無価値
防護,暴力,調和,違法,集団,入植,立派,異端,神聖,尻軽女,理想
親身,乱暴,均衡,法律違反,群れ,入国管理,表彰,妨害,不可侵,汚い,評判
防ぐ,猛威,相殺,非合法,連合,亡命,重ん,反対,抑制,ふん,人格
保存,傷,釣り合,無法,義理,無差別,尊重,抗議,洗練,スキャンダル,悪い
庇護,痛む,均整,搾取,勤王,,敬白,拒む,清純,くそ,犯人
擁護,損失,正直,,志士,,定める,告発,純潔,ごみ,犯罪
かばう,痛める,率直,,地方自治体,,整える,糾弾,上品,不快,悪
盾,障る,誠実,,コミューン,,命令,弾劾,貞節,垢,不道徳
避難,殺す,実直,,生活共同体,,指示,忠告,聖なる,不遜,不品行
後ろ盾,自殺,忠実,,社会,,体制,諫言,法皇,不敬,犯す
友情,殺し屋,忠誠,,共通,,規則,騒乱,聖,不孝,反する
友好,殺人,忠義,,地域社会,,階級,騒擾,聖者,不信心,破る
親睦,殺害,忠節,,群,,師,暴民,気高,不敬虔,醜悪
親善,屠殺,正し,,共有,,祖先,拒否,聖徒,冒涜,
譲る,危急,正す,,類似,,長老,拒絶,脱俗,口汚,
保全,危機,,,公衆,,創始者,,禁欲,粗末,
防御,虐待,,,共通性,,伝統,,節制,反感,
保安,残酷,,,コミュニティ,,伝説,,乙女,病人,
恩恵,冷酷,,,共用,,流儀,,処女,吐き気,
守備,残忍,,,群落,,慣例,,聖母,青白い,
守り,残虐,,,共産,,しきたり,,新鮮,弱々し,
用心,無慈悲,,,仲間,,階層,,童貞,狂人,
後見人,野蛮,,,同志,,高官,,厳格,嘔吐物,
守護,蛮行,,,友愛,,要人,,簡素,乱雑,
保つ,獣性,,,僚友,,ヒエラルキー,,質素,乱交,
追っ払う,裏切る,,,幹部,,権限,,厳粛,淫行,
慈悲深,悪口,,,中核,,権力,,無傷,不倫,
母親らし,弊害,,,支部,,権威,,高潔,姦通,
追い払う,乱用,,,ジョイント,,当局,,清廉,姦夫,
撃退,悪態,,,接合,,大家,,控えめ,姦婦,
,酷使,,,つなぐ,,威厳,,禁酒,汚染,
,被害,,,一致,,官庁,,透明,汚す,
,損傷,,,和合,,公社,,明快,浮浪,
,崩壊,,,結合,,認める,,明晰,放浪,
,破壊,,,合併,,許す,,無傷,浮気,
,滅び,,,提携,,許可,,少女,売春,
,破滅,,,結びつ,,許し,,初々し,浪費,
,滅亡,,,協力,,許諾,,優雅,乱費,
,荒廃,,,同僚,,地位,,精巧,汚物,
,破産,,,組合,,資格,,作法,不潔感,
,没落,,,共同,,身分,,体裁,卑猥,
,荒らす,,,親交,,威信,,品位,汚名,
,略奪,,,同士,,信望,,あどけな,不名誉,
,砕く,,,会,,順位,,無邪気,汚点,
,砕ける,,,協会,,ランキング,,真新し,邪悪,
,制圧,,,ギルド,,格付け,,素朴,変質者,
,鎮圧,,,連帯,,等級,,教会,,
,粉砕,,,結束,,指導,,礼拝,,
,襲う,,,団結,,リーダー,,キリスト教,,
,攻撃,,,ファン,,指揮,,聖堂,,
,非難,,,信心,,主将,,会衆,,
,襲撃,,,献身,,首領,,教派,,
,酷評,,,帰依,,レベル,,聖職,,
,滅ぼ,,,一部,,クラス,,正典,,
,打ち砕く,,,メンバー,,ブルジョ,,教え,,
,駆除,,,社員,,資本家階級,,,,
,見捨て,,,会員,,有産階級,,,,
,放棄,,,議員,,社会的地位,,,,
,自暴自棄,,,派閥,,カースト,,,,
,損な,,,徒党,,承諾,,,,
,負傷,,,一団,,追従,,,,
,痛手,,,味方,,応諾,,,,
,侮辱,,,同盟国,,盲従,,,,
,報いる,,,盟友,,率いる,,,,
,侵害,,,部員,,支配,,,,
,排除,,,内輪,,優位,,,,
,締め出,,,尽くす,,主権,,,,
,軍隊,,,,,覇権,,,,
,漏らす,,,,,最高位,,,,
,裏切り,,,,,至上,,,,
,だます,,,,,監督,,,,
,欺く,,,,,管理,,,,
,詐欺,,,,,規制,,,,
,ぺてん,,,,,運営,,,,
,テロ,,,,,謙虚,,,,
,恐怖政治,,,,,屈する,,,,
,悪影響,,,,,降伏,,,,
,意地悪,,,,,甘受,,,,
,加害,,,,,尊い,,,,
,,,,,,敬う,,,,
,,,,,,敬愛,,,,
,,,,,,崇拝,,,,
,,,,,,尊ぶ,,,,
,,,,,,敬慕,,,,
,,,,,,応じる,,,,
,,,,,,貞操,,,,
,,,,,,懲罰,,,,
,,,,,,聖人,,,,
,,,,,,君子,,,,
,,,,,,謙遜,,,,
,,,,,,礼儀,,,,
,,,,,,見せしめ,,,,
,,,,,,罰す,,,,